edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;tram rail_urban rail rail_electric rail_fast ship;7631601346;-817131841;1;3;4777.77,3530.51 4774.55,3508.94 4773.71,3504.30 4770.82,3502.24 4739.90,3506.55;13.89;7631601350;highway.residential;0;origId;817131841
1.9;tram rail_urban rail rail_electric rail_fast ship;7631601351;-817131842;1;3;4680.54,3538.06 4713.33,3533.85;13.89;cluster_459515953_7631601352;highway.residential;0;origId;817131842
1.9;tram rail_urban rail rail_electric rail_fast ship;6177899951;-99713561#0;1;3;3086.62,3105.58 3087.64,3233.43 3087.47,3249.49;13.89;308771034;highway.residential;0;origId;99713561
1.9;tram rail_urban rail rail_electric rail_fast ship;5279544117;-99713561#1;1;3;3086.67,3053.76 3086.38,3075.54 3086.62,3105.58;13.89;6177899951;highway.residential;0;origId;99713561
1.9;tram rail_urban rail rail_electric rail_fast ship;5279544119;-99713561#2;1;3;;13.89;5279544117;highway.residential;0;origId;99713561
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_2389189981_2389190005;-99713561#3;1;3;3085.80,2975.57 3087.00,3028.86;13.89;5279544119;highway.residential;0;origId;99713561
1.9;;452480809;103269863#0;2;14;4724.75,2875.03 4743.01,2885.37 4759.05,2895.83 4767.95,2902.82 4773.24,2907.48 4778.67,2912.55 4783.94,2918.31 4787.61,2923.59 4791.64,2930.07 4794.08,2935.63 4795.54,2943.38 4796.30,2950.28 4795.81,2958.77 4794.80,2966.13 4792.24,2974.07 4789.88,2978.59 4781.54,2993.22 4770.76,3011.28 4738.36,3053.44 4444.02,3424.39;22.22;3643008793;highway.motorway;0;origId;103269863
1.9;;452480809;103269863#0;2;14;4724.75,2875.03 4743.01,2885.37 4759.05,2895.83 4767.95,2902.82 4773.24,2907.48 4778.67,2912.55 4783.94,2918.31 4787.61,2923.59 4791.64,2930.07 4794.08,2935.63 4795.54,2943.38 4796.30,2950.28 4795.81,2958.77 4794.80,2966.13 4792.24,2974.07 4789.88,2978.59 4781.54,2993.22 4770.76,3011.28 4738.36,3053.44 4444.02,3424.39;22.22;3643008793;highway.motorway;1;origId;103269863
1.9;;103269863#1-AddedOnRampNode;103269863#1;2;14;4381.87,3502.73 4276.15,3635.98 4235.56,3687.30 4139.71,3808.49 4122.49,3829.31 3851.21,4172.19 3712.21,4344.34 3592.54,4494.17 3394.54,4744.64 3208.40,4977.59 3102.43,5110.19 2849.00,5430.20 2619.95,5721.55 2603.13,5742.48 2586.13,5762.78 2552.15,5802.51 2534.27,5822.08 2517.57,5840.34 2484.89,5876.86 2451.49,5913.19 2431.14,5936.01 2410.45,5958.39 2372.81,6000.08 2255.21,6135.18 2210.31,6195.07 2153.17,6283.49 1537.47,7281.65 1217.90,7798.72 1147.11,7913.31 972.35,8196.21 810.68,8456.79 634.04,8747.07 562.34,8864.16 497.58,8969.56 477.49,9002.46 145.96,9533.81 0.00,9770.76;22.22;618243158;highway.motorway;0;origId;103269863
1.9;;103269863#1-AddedOnRampNode;103269863#1;2;14;4381.87,3502.73 4276.15,3635.98 4235.56,3687.30 4139.71,3808.49 4122.49,3829.31 3851.21,4172.19 3712.21,4344.34 3592.54,4494.17 3394.54,4744.64 3208.40,4977.59 3102.43,5110.19 2849.00,5430.20 2619.95,5721.55 2603.13,5742.48 2586.13,5762.78 2552.15,5802.51 2534.27,5822.08 2517.57,5840.34 2484.89,5876.86 2451.49,5913.19 2431.14,5936.01 2410.45,5958.39 2372.81,6000.08 2255.21,6135.18 2210.31,6195.07 2153.17,6283.49 1537.47,7281.65 1217.90,7798.72 1147.11,7913.31 972.35,8196.21 810.68,8456.79 634.04,8747.07 562.34,8864.16 497.58,8969.56 477.49,9002.46 145.96,9533.81 0.00,9770.76;22.22;618243158;highway.motorway;1;origId;103269863
1.9;;3643008793;103269863#1-AddedOnRampEdge;4;14;4441.52,3422.40 4379.36,3500.74;22.22;103269863#1-AddedOnRampNode;highway.motorway;0;origId;103269863
1.9;;3643008793;103269863#1-AddedOnRampEdge;4;14;4441.52,3422.40 4379.36,3500.74;22.22;103269863#1-AddedOnRampNode;highway.motorway;1;origId;103269863
1.9;;3643008793;103269863#1-AddedOnRampEdge;4;14;4441.52,3422.40 4379.36,3500.74;22.22;103269863#1-AddedOnRampNode;highway.motorway;2;origId;103269863
1.9;;3643008793;103269863#1-AddedOnRampEdge;4;14;4441.52,3422.40 4379.36,3500.74;22.22;103269863#1-AddedOnRampNode;highway.motorway;3;origId;103269863
1.9;tram rail_urban rail rail_electric rail_fast ship;7485282899;1053831742;1;3;;13.89;9684614886;highway.residential;0;origId;1053831742
1.9;tram rail_urban rail rail_electric rail_fast ship;264191745;1055011759;1;11;3646.84,2674.96 3660.64,2653.07 3671.61,2489.18 3685.72,2334.26 3673.98,2289.90 3616.64,2112.88;27.78;9694515638;highway.secondary;0;origId;1055011759
1.9;tram rail_urban rail rail_electric rail_fast ship;1698688821;1058823730;1;4;4093.62,3903.34 4122.24,3867.28 4177.78,3797.33 4202.14,3766.66;11.11;459515906;highway.unclassified;0;origId;1058823730
1.9;tram rail_urban rail rail_electric rail_fast ship;3643007690;146496119#0;1;10;4135.87,2712.44 4164.60,2716.27 4240.22,2719.24;22.22;6888390049;highway.tertiary;0;origId;146496119
1.9;tram rail_urban rail rail_electric rail_fast ship;6888390049;146496119#1;1;10;4240.22,2719.24 4275.00,2720.60 4287.83,2721.38 4298.31,2722.02 4299.71,2722.17 4330.81,2725.45 4344.12,2726.87 4388.68,2736.49 4434.23,2749.88 4484.32,2766.42 4492.45,2769.91 4546.60,2793.13 4675.48,2859.51 4755.35,2902.58 4767.17,2910.76 4774.18,2917.75 4780.00,2925.30 4783.80,2933.11 4785.57,2943.72 4785.18,2952.68;22.22;1614219932;highway.tertiary;0;origId;146496119
